Cement (component 1)(kg in a m^3 mixture),Blast Furnace Slag (component 2)(kg in a m^3 mixture),Fly Ash (component 3)(kg in a m^3 mixture),Water  (component 4)(kg in a m^3 mixture),Superplasticizer (component 5)(kg in a m^3 mixture),Coarse Aggregate  (component 6)(kg in a m^3 mixture),Fine Aggregate (component 7)(kg in a m^3 mixture),Age (day),"Concrete compressive strength(MPa, megapascals) "
540 ,0 ,0 ,162 ,3 ,1040 ,676 ,28 ,80 
540 ,0 ,0 ,162 ,3 ,1055 ,676 ,28 ,62 
333 ,143 ,0 ,228 ,0 ,932 ,594 ,270 ,40 
333 ,143 ,0 ,228 ,0 ,932 ,594 ,365 ,41 
199 ,132 ,0 ,192 ,0 ,978 ,826 ,360 ,44 
266 ,114 ,0 ,228 ,0 ,932 ,670 ,90 ,47 
380 ,95 ,0 ,228 ,0 ,932 ,594 ,365 ,44 
380 ,95 ,0 ,228 ,0 ,932 ,594 ,28 ,36 
266 ,114 ,0 ,228 ,0 ,932 ,670 ,28 ,46 
475 ,0 ,0 ,228 ,0 ,932 ,594 ,28 ,39 
199 ,132 ,0 ,192 ,0 ,978 ,826 ,90 ,38 
199 ,132 ,0 ,192 ,0 ,978 ,826 ,28 ,28 
428 ,48 ,0 ,228 ,0 ,932 ,594 ,270 ,43 
190 ,190 ,0 ,228 ,0 ,932 ,670 ,90 ,42 
304 ,76 ,0 ,228 ,0 ,932 ,670 ,28 ,48 
380 ,0 ,0 ,228 ,0 ,932 ,670 ,90 ,53 
140 ,209 ,0 ,192 ,0 ,1047 ,807 ,90 ,39 
342 ,38 ,0 ,228 ,0 ,932 ,670 ,365 ,56 
380 ,95 ,0 ,228 ,0 ,932 ,594 ,90 ,41 
475 ,0 ,0 ,228 ,0 ,932 ,594 ,180 ,43 
428 ,48 ,0 ,228 ,0 ,932 ,594 ,180 ,42 
140 ,209 ,0 ,192 ,0 ,1047 ,807 ,28 ,28 
140 ,209 ,0 ,192 ,0 ,1047 ,807 ,3 ,8 
140 ,209 ,0 ,192 ,0 ,1047 ,807 ,180 ,44 
380 ,0 ,0 ,228 ,0 ,932 ,670 ,365 ,53 
380 ,0 ,0 ,228 ,0 ,932 ,670 ,270 ,53 
380 ,95 ,0 ,228 ,0 ,932 ,594 ,270 ,41 
342 ,38 ,0 ,228 ,0 ,932 ,670 ,180 ,52 
428 ,48 ,0 ,228 ,0 ,932 ,594 ,28 ,37 
475 ,0 ,0 ,228 ,0 ,932 ,594 ,7 ,39 
304 ,76 ,0 ,228 ,0 ,932 ,670 ,365 ,55 
266 ,114 ,0 ,228 ,0 ,932 ,670 ,365 ,53 
199 ,132 ,0 ,192 ,0 ,978 ,826 ,180 ,42 
475 ,0 ,0 ,228 ,0 ,932 ,594 ,270 ,42 
190 ,190 ,0 ,228 ,0 ,932 ,670 ,365 ,54 
238 ,238 ,0 ,228 ,0 ,932 ,594 ,270 ,38 
238 ,238 ,0 ,228 ,0 ,932 ,594 ,28 ,30 
333 ,143 ,0 ,228 ,0 ,932 ,594 ,90 ,38 
475 ,0 ,0 ,228 ,0 ,932 ,594 ,90 ,42 
238 ,238 ,0 ,228 ,0 ,932 ,594 ,180 ,36 
342 ,38 ,0 ,228 ,0 ,932 ,670 ,90 ,51 
428 ,48 ,0 ,228 ,0 ,932 ,594 ,365 ,44 
238 ,238 ,0 ,228 ,0 ,932 ,594 ,365 ,39 
380 ,0 ,0 ,228 ,0 ,932 ,670 ,180 ,53 
428 ,48 ,0 ,228 ,0 ,932 ,594 ,90 ,42 
428 ,48 ,0 ,228 ,0 ,932 ,594 ,7 ,35 
349 ,0 ,0 ,192 ,0 ,1047 ,807 ,3 ,15 
380 ,95 ,0 ,228 ,0 ,932 ,594 ,180 ,41 
238 ,238 ,0 ,228 ,0 ,932 ,594 ,7 ,26 
380 ,95 ,0 ,228 ,0 ,932 ,594 ,7 ,33 
333 ,143 ,0 ,228 ,0 ,932 ,594 ,180 ,40 
190 ,190 ,0 ,228 ,0 ,932 ,670 ,180 ,47 
238 ,238 ,0 ,228 ,0 ,932 ,594 ,90 ,33 
304 ,76 ,0 ,228 ,0 ,932 ,670 ,90 ,49 
140 ,209 ,0 ,192 ,0 ,1047 ,807 ,7 ,15 
199 ,132 ,0 ,192 ,0 ,978 ,826 ,7 ,15 
475 ,0 ,0 ,228 ,0 ,932 ,594 ,365 ,42 
199 ,132 ,0 ,192 ,0 ,978 ,826 ,3 ,9 
304 ,76 ,0 ,228 ,0 ,932 ,670 ,180 ,51 
333 ,143 ,0 ,228 ,0 ,932 ,594 ,28 ,33 
304 ,76 ,0 ,228 ,0 ,932 ,670 ,270 ,54 
266 ,114 ,0 ,228 ,0 ,932 ,670 ,270 ,52 
310 ,0 ,0 ,192 ,0 ,971 ,851 ,3 ,10 
190 ,190 ,0 ,228 ,0 ,932 ,670 ,270 ,51 
266 ,114 ,0 ,228 ,0 ,932 ,670 ,180 ,49 
342 ,38 ,0 ,228 ,0 ,932 ,670 ,270 ,55 
140 ,209 ,0 ,192 ,0 ,1047 ,807 ,360 ,45 
333 ,143 ,0 ,228 ,0 ,932 ,594 ,7 ,30 
190 ,190 ,0 ,228 ,0 ,932 ,670 ,28 ,41 
485 ,0 ,0 ,146 ,0 ,1120 ,800 ,28 ,72 
374 ,189 ,0 ,170 ,10 ,926 ,757 ,3 ,34 
313 ,262 ,0 ,176 ,9 ,1047 ,612 ,3 ,29 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,3 ,33 
425 ,106 ,0 ,151 ,19 ,936 ,804 ,3 ,36 
375 ,94 ,0 ,127 ,23 ,852 ,993 ,3 ,29 
475 ,119 ,0 ,181 ,9 ,852 ,782 ,3 ,38 
469 ,117 ,0 ,138 ,32 ,852 ,841 ,3 ,40 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,3 ,33 
389 ,97 ,0 ,158 ,12 ,852 ,926 ,3 ,28 
531 ,0 ,0 ,142 ,28 ,852 ,894 ,3 ,41 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,3 ,33 
319 ,213 ,0 ,156 ,14 ,852 ,880 ,3 ,25 
402 ,95 ,0 ,147 ,11 ,947 ,852 ,3 ,41 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,3 ,35 
324 ,283 ,0 ,184 ,10 ,943 ,660 ,3 ,28 
380 ,151 ,0 ,154 ,16 ,1134 ,605 ,3 ,29 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,3 ,35 
286 ,201 ,0 ,145 ,11 ,1005 ,804 ,3 ,24 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,3 ,35 
439 ,177 ,0 ,186 ,11 ,885 ,708 ,3 ,39 
390 ,189 ,0 ,146 ,22 ,945 ,756 ,3 ,41 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,3 ,35 
338 ,189 ,0 ,175 ,10 ,945 ,756 ,3 ,24 
374 ,189 ,0 ,170 ,10 ,926 ,757 ,7 ,46 
313 ,262 ,0 ,176 ,9 ,1047 ,612 ,7 ,43 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,7 ,49 
425 ,106 ,0 ,151 ,19 ,936 ,804 ,7 ,47 
375 ,94 ,0 ,127 ,23 ,852 ,993 ,7 ,46 
475 ,119 ,0 ,181 ,9 ,852 ,782 ,7 ,56 
469 ,117 ,0 ,138 ,32 ,852 ,841 ,7 ,55 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,7 ,49 
389 ,97 ,0 ,158 ,12 ,852 ,926 ,7 ,35 
531 ,0 ,0 ,142 ,28 ,852 ,894 ,7 ,47 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,7 ,49 
319 ,213 ,0 ,156 ,14 ,852 ,880 ,7 ,33 
402 ,95 ,0 ,147 ,11 ,947 ,852 ,7 ,54 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,7 ,56 
324 ,283 ,0 ,184 ,10 ,943 ,660 ,7 ,50 
380 ,151 ,0 ,154 ,16 ,1134 ,605 ,7 ,47 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,7 ,56 
286 ,201 ,0 ,145 ,11 ,1005 ,804 ,7 ,38 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,7 ,56 
439 ,177 ,0 ,186 ,11 ,885 ,708 ,7 ,56 
390 ,189 ,0 ,146 ,22 ,945 ,756 ,7 ,59 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,7 ,23 
338 ,189 ,0 ,175 ,10 ,945 ,756 ,7 ,35 
374 ,189 ,0 ,170 ,10 ,926 ,757 ,28 ,61 
313 ,262 ,0 ,176 ,9 ,1047 ,612 ,28 ,60 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,28 ,60 
425 ,106 ,0 ,151 ,19 ,936 ,804 ,28 ,62 
375 ,94 ,0 ,127 ,23 ,852 ,993 ,28 ,57 
475 ,119 ,0 ,181 ,9 ,852 ,782 ,28 ,68 
469 ,117 ,0 ,138 ,32 ,852 ,841 ,28 ,67 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,28 ,60 
389 ,97 ,0 ,158 ,12 ,852 ,926 ,28 ,51 
531 ,0 ,0 ,142 ,28 ,852 ,894 ,28 ,56 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,28 ,60 
319 ,213 ,0 ,156 ,14 ,852 ,880 ,28 ,56 
402 ,95 ,0 ,147 ,11 ,947 ,852 ,28 ,69 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,28 ,71 
324 ,283 ,0 ,184 ,10 ,943 ,660 ,28 ,75 
380 ,151 ,0 ,154 ,16 ,1134 ,605 ,28 ,52 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,28 ,71 
286 ,201 ,0 ,145 ,11 ,1005 ,804 ,28 ,68 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,28 ,71 
439 ,177 ,0 ,186 ,11 ,885 ,708 ,28 ,66 
390 ,189 ,0 ,146 ,22 ,945 ,756 ,28 ,75 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,28 ,71 
338 ,189 ,0 ,175 ,10 ,945 ,756 ,28 ,50 
374 ,189 ,0 ,170 ,10 ,926 ,757 ,56 ,63 
313 ,262 ,0 ,176 ,9 ,1047 ,612 ,56 ,65 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,56 ,64 
425 ,106 ,0 ,151 ,19 ,936 ,804 ,56 ,65 
375 ,94 ,0 ,127 ,23 ,852 ,993 ,56 ,60 
475 ,119 ,0 ,181 ,9 ,852 ,782 ,56 ,72 
469 ,117 ,0 ,138 ,32 ,852 ,841 ,56 ,69 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,56 ,64 
389 ,97 ,0 ,158 ,12 ,852 ,926 ,56 ,55 
531 ,0 ,0 ,142 ,28 ,852 ,894 ,56 ,59 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,56 ,64 
319 ,213 ,0 ,156 ,14 ,852 ,880 ,56 ,66 
402 ,95 ,0 ,147 ,11 ,947 ,852 ,56 ,74 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,56 ,77 
324 ,283 ,0 ,184 ,10 ,943 ,660 ,56 ,80 
380 ,151 ,0 ,154 ,16 ,1134 ,605 ,56 ,55 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,56 ,77 
286 ,201 ,0 ,145 ,11 ,1005 ,804 ,56 ,73 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,56 ,77 
439 ,177 ,0 ,186 ,11 ,885 ,708 ,56 ,72 
390 ,189 ,0 ,146 ,22 ,945 ,756 ,56 ,79 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,56 ,77 
338 ,189 ,0 ,175 ,10 ,945 ,756 ,56 ,60 
374 ,189 ,0 ,170 ,10 ,926 ,757 ,91 ,65 
313 ,262 ,0 ,176 ,9 ,1047 ,612 ,91 ,67 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,91 ,65 
425 ,106 ,0 ,151 ,19 ,936 ,804 ,91 ,67 
375 ,94 ,0 ,127 ,23 ,852 ,993 ,91 ,63 
475 ,119 ,0 ,181 ,9 ,852 ,782 ,91 ,74 
469 ,117 ,0 ,138 ,32 ,852 ,841 ,91 ,71 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,91 ,65 
389 ,97 ,0 ,158 ,12 ,852 ,926 ,91 ,58 
531 ,0 ,0 ,142 ,28 ,852 ,894 ,91 ,59 
425 ,106 ,0 ,154 ,17 ,852 ,887 ,91 ,65 
319 ,213 ,0 ,156 ,14 ,852 ,880 ,91 ,68 
402 ,95 ,0 ,147 ,11 ,947 ,852 ,91 ,76 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,91 ,79 
380 ,151 ,0 ,154 ,16 ,1134 ,605 ,91 ,57 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,91 ,79 
286 ,201 ,0 ,145 ,11 ,1005 ,804 ,91 ,77 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,91 ,79 
439 ,177 ,0 ,186 ,11 ,885 ,708 ,91 ,73 
390 ,189 ,0 ,146 ,22 ,945 ,756 ,91 ,83 
363 ,189 ,0 ,165 ,12 ,945 ,756 ,91 ,79 
338 ,189 ,0 ,175 ,10 ,945 ,756 ,91 ,68 
222 ,0 ,97 ,189 ,5 ,967 ,870 ,3 ,12 
222 ,0 ,97 ,189 ,5 ,967 ,870 ,14 ,24 
222 ,0 ,97 ,189 ,5 ,967 ,870 ,28 ,25 
222 ,0 ,97 ,189 ,5 ,967 ,870 ,56 ,29 
222 ,0 ,97 ,189 ,5 ,967 ,870 ,100 ,41 
234 ,0 ,95 ,198 ,5 ,947 ,852 ,3 ,10 
234 ,0 ,95 ,198 ,5 ,947 ,852 ,14 ,22 
234 ,0 ,95 ,198 ,5 ,947 ,852 ,28 ,23 
234 ,0 ,95 ,198 ,5 ,947 ,852 ,56 ,28 
234 ,0 ,95 ,198 ,5 ,947 ,852 ,100 ,35 
195 ,0 ,101 ,166 ,8 ,1006 ,906 ,3 ,13 
195 ,0 ,101 ,166 ,8 ,1006 ,906 ,14 ,25 
195 ,0 ,101 ,166 ,8 ,1006 ,906 ,28 ,26 
195 ,0 ,101 ,166 ,8 ,1006 ,906 ,56 ,34 
195 ,0 ,101 ,166 ,8 ,1006 ,906 ,100 ,37 
191 ,0 ,125 ,162 ,8 ,1090 ,804 ,3 ,15 
191 ,0 ,125 ,162 ,8 ,1090 ,804 ,14 ,21 
191 ,0 ,125 ,162 ,8 ,1090 ,804 ,28 ,26 
191 ,0 ,125 ,162 ,8 ,1090 ,804 ,56 ,35 
191 ,0 ,125 ,162 ,8 ,1090 ,804 ,100 ,41 
212 ,0 ,122 ,180 ,6 ,1058 ,779 ,3 ,13 
212 ,0 ,122 ,180 ,6 ,1058 ,779 ,14 ,21 
212 ,0 ,122 ,180 ,6 ,1058 ,779 ,28 ,25 
212 ,0 ,122 ,180 ,6 ,1058 ,779 ,56 ,34 
212 ,0 ,122 ,180 ,6 ,1058 ,779 ,100 ,40 
230 ,0 ,118 ,196 ,5 ,1029 ,759 ,3 ,10 
230 ,0 ,118 ,196 ,5 ,1029 ,759 ,14 ,20 
230 ,0 ,118 ,196 ,5 ,1029 ,759 ,28 ,25 
230 ,0 ,118 ,196 ,5 ,1029 ,759 ,56 ,32 
230 ,0 ,118 ,196 ,5 ,1029 ,759 ,100 ,35 
190 ,0 ,125 ,162 ,10 ,1088 ,803 ,3 ,9 
190 ,0 ,125 ,162 ,10 ,1088 ,803 ,14 ,23 
190 ,0 ,125 ,162 ,10 ,1088 ,803 ,28 ,29 
190 ,0 ,125 ,162 ,10 ,1088 ,803 ,56 ,39 
190 ,0 ,125 ,162 ,10 ,1088 ,803 ,100 ,40 
166 ,0 ,163 ,177 ,5 ,1059 ,780 ,3 ,11 
166 ,0 ,163 ,177 ,5 ,1059 ,780 ,14 ,26 
166 ,0 ,163 ,177 ,5 ,1059 ,780 ,28 ,22 
166 ,0 ,163 ,177 ,5 ,1059 ,780 ,56 ,29 
166 ,0 ,163 ,177 ,5 ,1059 ,780 ,100 ,34 
168 ,42 ,164 ,122 ,6 ,1059 ,780 ,3 ,8 
168 ,42 ,164 ,122 ,6 ,1059 ,780 ,14 ,18 
168 ,42 ,164 ,122 ,6 ,1059 ,780 ,28 ,24 
168 ,42 ,164 ,122 ,6 ,1059 ,780 ,56 ,33 
168 ,42 ,164 ,122 ,6 ,1059 ,780 ,100 ,39 
214 ,98 ,25 ,182 ,7 ,1066 ,785 ,3 ,18 
214 ,98 ,25 ,182 ,7 ,1066 ,785 ,14 ,30 
214 ,98 ,25 ,182 ,7 ,1066 ,785 ,28 ,46 
214 ,98 ,25 ,182 ,7 ,1066 ,785 ,56 ,51 
214 ,98 ,25 ,182 ,7 ,1066 ,785 ,100 ,54 
214 ,98 ,25 ,182 ,7 ,1066 ,786 ,3 ,13 
214 ,98 ,25 ,182 ,7 ,1066 ,786 ,14 ,18 
214 ,98 ,25 ,182 ,7 ,1066 ,786 ,28 ,40 
214 ,98 ,25 ,182 ,7 ,1066 ,786 ,56 ,47 
214 ,98 ,25 ,182 ,7 ,1066 ,786 ,100 ,50 
230 ,0 ,118 ,195 ,6 ,1028 ,758 ,3 ,13 
230 ,0 ,118 ,195 ,6 ,1028 ,758 ,14 ,22 
230 ,0 ,118 ,195 ,6 ,1028 ,758 ,28 ,25 
230 ,0 ,118 ,195 ,6 ,1028 ,758 ,56 ,31 
230 ,0 ,118 ,195 ,6 ,1028 ,758 ,100 ,41 
238 ,0 ,94 ,187 ,7 ,950 ,847 ,3 ,20 
238 ,0 ,94 ,187 ,7 ,950 ,847 ,14 ,26 
238 ,0 ,94 ,187 ,7 ,950 ,847 ,28 ,30 
238 ,0 ,94 ,187 ,7 ,950 ,847 ,56 ,40 
238 ,0 ,94 ,187 ,7 ,950 ,847 ,100 ,44 
250 ,0 ,96 ,187 ,6 ,957 ,861 ,3 ,14 
250 ,0 ,96 ,187 ,6 ,957 ,861 ,14 ,25 
250 ,0 ,96 ,187 ,6 ,957 ,861 ,28 ,29 
250 ,0 ,96 ,187 ,6 ,957 ,861 ,56 ,38 
250 ,0 ,96 ,187 ,6 ,957 ,861 ,100 ,42 
213 ,0 ,100 ,159 ,9 ,1008 ,904 ,3 ,14 
213 ,0 ,100 ,159 ,9 ,1008 ,904 ,14 ,26 
213 ,0 ,100 ,159 ,9 ,1008 ,904 ,28 ,32 
213 ,0 ,100 ,159 ,9 ,1008 ,904 ,56 ,43 
213 ,0 ,100 ,159 ,9 ,1008 ,904 ,100 ,43 
213 ,0 ,100 ,159 ,10 ,1004 ,904 ,3 ,13 
213 ,0 ,100 ,159 ,10 ,1004 ,904 ,14 ,25 
213 ,0 ,100 ,159 ,10 ,1004 ,904 ,28 ,37 
213 ,0 ,100 ,159 ,10 ,1004 ,904 ,56 ,44 
213 ,0 ,100 ,159 ,10 ,1004 ,904 ,100 ,48 
212 ,0 ,125 ,159 ,8 ,1085 ,800 ,3 ,20 
212 ,0 ,125 ,159 ,8 ,1085 ,800 ,14 ,31 
212 ,0 ,125 ,159 ,8 ,1085 ,800 ,28 ,39 
212 ,0 ,125 ,159 ,8 ,1085 ,800 ,56 ,45 
212 ,0 ,125 ,159 ,8 ,1085 ,800 ,100 ,48 
232 ,0 ,122 ,174 ,7 ,1056 ,779 ,3 ,15 
232 ,0 ,122 ,174 ,7 ,1056 ,779 ,14 ,27 
232 ,0 ,122 ,174 ,7 ,1056 ,779 ,28 ,34 
232 ,0 ,122 ,174 ,7 ,1056 ,779 ,56 ,43 
232 ,0 ,122 ,174 ,7 ,1056 ,779 ,100 ,46 
251 ,0 ,118 ,189 ,6 ,1028 ,758 ,3 ,17 
251 ,0 ,118 ,189 ,6 ,1028 ,758 ,14 ,30 
251 ,0 ,118 ,189 ,6 ,1028 ,758 ,28 ,30 
251 ,0 ,118 ,189 ,6 ,1028 ,758 ,56 ,37 
251 ,0 ,118 ,189 ,6 ,1028 ,758 ,100 ,44 
251 ,0 ,118 ,189 ,6 ,1028 ,758 ,3 ,13 
251 ,0 ,118 ,189 ,6 ,1028 ,758 ,14 ,24 
251 ,0 ,118 ,189 ,6 ,1028 ,758 ,28 ,33 
251 ,0 ,118 ,189 ,6 ,1028 ,758 ,56 ,37 
251 ,0 ,118 ,189 ,6 ,1028 ,758 ,100 ,44 
181 ,0 ,167 ,170 ,8 ,1056 ,778 ,3 ,14 
181 ,0 ,167 ,170 ,8 ,1056 ,778 ,14 ,22 
181 ,0 ,167 ,170 ,8 ,1056 ,778 ,28 ,28 
181 ,0 ,167 ,170 ,8 ,1056 ,778 ,56 ,36 
181 ,0 ,167 ,170 ,8 ,1056 ,778 ,100 ,45 
182 ,45 ,122 ,170 ,8 ,1059 ,781 ,3 ,7 
182 ,45 ,122 ,170 ,8 ,1059 ,781 ,14 ,22 
182 ,45 ,122 ,170 ,8 ,1059 ,781 ,28 ,31 
182 ,45 ,122 ,170 ,8 ,1059 ,781 ,56 ,44 
182 ,45 ,122 ,170 ,8 ,1059 ,781 ,100 ,49 
169 ,42 ,124 ,158 ,11 ,1081 ,796 ,3 ,7 
169 ,42 ,124 ,158 ,11 ,1081 ,796 ,14 ,24 
169 ,42 ,124 ,158 ,11 ,1081 ,796 ,28 ,31 
169 ,42 ,124 ,158 ,11 ,1081 ,796 ,56 ,39 
169 ,42 ,124 ,158 ,11 ,1081 ,796 ,100 ,48 
290 ,0 ,96 ,168 ,9 ,961 ,865 ,3 ,23 
290 ,0 ,96 ,168 ,9 ,961 ,865 ,14 ,35 
290 ,0 ,96 ,168 ,9 ,961 ,865 ,28 ,35 
290 ,0 ,96 ,168 ,9 ,961 ,865 ,56 ,45 
290 ,0 ,96 ,168 ,9 ,961 ,865 ,100 ,49 
277 ,0 ,97 ,161 ,12 ,974 ,876 ,3 ,23 
277 ,0 ,97 ,161 ,12 ,974 ,876 ,14 ,42 
277 ,0 ,97 ,161 ,12 ,974 ,876 ,28 ,48 
277 ,0 ,97 ,161 ,12 ,974 ,876 ,56 ,51 
277 ,0 ,97 ,161 ,12 ,974 ,876 ,100 ,56 
296 ,0 ,96 ,172 ,9 ,955 ,859 ,3 ,23 
296 ,0 ,96 ,172 ,9 ,955 ,859 ,14 ,35 
296 ,0 ,96 ,172 ,9 ,955 ,859 ,28 ,40 
296 ,0 ,96 ,172 ,9 ,955 ,859 ,56 ,49 
296 ,0 ,96 ,172 ,9 ,955 ,859 ,100 ,52 
252 ,0 ,100 ,146 ,12 ,1006 ,900 ,3 ,21 
252 ,0 ,100 ,146 ,12 ,1006 ,900 ,14 ,33 
252 ,0 ,100 ,146 ,12 ,1006 ,900 ,28 ,34 
252 ,0 ,100 ,146 ,12 ,1006 ,900 ,56 ,44 
252 ,0 ,100 ,146 ,12 ,1006 ,900 ,100 ,45 
249 ,0 ,99 ,158 ,13 ,988 ,889 ,3 ,15 
249 ,0 ,99 ,158 ,13 ,988 ,889 ,14 ,29 
249 ,0 ,99 ,158 ,13 ,988 ,889 ,28 ,31 
249 ,0 ,99 ,158 ,13 ,988 ,889 ,56 ,42 
249 ,0 ,99 ,158 ,13 ,988 ,889 ,100 ,51 
252 ,0 ,99 ,146 ,14 ,988 ,889 ,3 ,22 
252 ,0 ,99 ,146 ,14 ,988 ,889 ,14 ,42 
252 ,0 ,99 ,146 ,14 ,988 ,889 ,28 ,51 
252 ,0 ,99 ,146 ,14 ,988 ,889 ,56 ,56 
252 ,0 ,99 ,146 ,14 ,988 ,889 ,100 ,61 
247 ,0 ,125 ,143 ,12 ,1087 ,801 ,3 ,24 
247 ,0 ,125 ,143 ,12 ,1087 ,801 ,14 ,42 
247 ,0 ,125 ,143 ,12 ,1087 ,801 ,28 ,53 
247 ,0 ,125 ,143 ,12 ,1087 ,801 ,56 ,60 
247 ,0 ,125 ,143 ,12 ,1087 ,801 ,100 ,66 
